"priceUSD","date"
434.463,"2016-01-01"
433.586,"2016-01-02"
430.361,"2016-01-03"
433.493,"2016-01-04"
432.253,"2016-01-05"
429.464,"2016-01-06"
458.28,"2016-01-07"
453.37,"2016-01-08"
449.143,"2016-01-09"
448.964,"2016-01-10"
448.385,"2016-01-11"
432.884,"2016-01-12"
432.04,"2016-01-13"
429.729,"2016-01-14"
358.766,"2016-01-15"
387.665,"2016-01-16"
380.208,"2016-01-17"
385.844,"2016-01-18"
377.745,"2016-01-19"
418.742,"2016-01-20"
409.945,"2016-01-21"
381.761,"2016-01-22"
386.191,"2016-01-23"
402.61,"2016-01-24"
390.663,"2016-01-25"
391.43,"2016-01-26"
394.629,"2016-01-27"
379.384,"2016-01-28"
378.2,"2016-01-29"
376.937,"2016-01-30"
367.135,"2016-01-31"
371.248,"2016-02-01"
372.877,"2016-02-02"
368.933,"2016-02-03"
388.612,"2016-02-04"
385.338,"2016-02-05"
375.405,"2016-02-06"
375.284,"2016-02-07"
371.101,"2016-02-08"
373.321,"2016-02-09"
379.96,"2016-02-10"
377.72,"2016-02-11"
383.126,"2016-02-12"
392.182,"2016-02-13"
406.738,"2016-02-14"
399.485,"2016-02-15"
407.361,"2016-02-16"
415.561,"2016-02-17"
421.637,"2016-02-18"
420.334,"2016-02-19"
436.517,"2016-02-20"
438.985,"2016-02-21"
438.072,"2016-02-22"
419.981,"2016-02-23"
424.362,"2016-02-24"
423.517,"2016-02-25"
432.064,"2016-02-26"
432.138,"2016-02-27"
432.64,"2016-02-28"
436.608,"2016-02-29"
433.637,"2016-03-01"
421.598,"2016-03-02"
419.466,"2016-03-03"
407.982,"2016-03-04"
397.833,"2016-03-05"
404.55,"2016-03-06"
412.982,"2016-03-07"
411.758,"2016-03-08"
412.618,"2016-03-09"
416.16,"2016-03-10"
419.887,"2016-03-11"
410.132,"2016-03-12"
412.291,"2016-03-13"
415.091,"2016-03-14"
415.383,"2016-03-15"
416.253,"2016-03-16"
418.452,"2016-03-17"
408.036,"2016-03-18"
408.52,"2016-03-19"
410.751,"2016-03-20"
411.423,"2016-03-21"
416.926,"2016-03-22"
417.386,"2016-03-23"
414.341,"2016-03-24"
415.687,"2016-03-25"
416.73,"2016-03-26"
425.378,"2016-03-27"
422.756,"2016-03-28"
415.553,"2016-03-29"
412.69,"2016-03-30"
415.161,"2016-03-31"
417.009,"2016-04-01"
419.686,"2016-04-02"
419.385,"2016-04-03"
419.416,"2016-04-04"
422.653,"2016-04-05"
421.7,"2016-04-06"
421.204,"2016-04-07"
418.089,"2016-04-08"
418.419,"2016-04-09"
421.111,"2016-04-10"
422.99,"2016-04-11"
425.99,"2016-04-12"
424.401,"2016-04-13"
425.106,"2016-04-14"
429.98,"2016-04-15"
430.837,"2016-04-16"
427.862,"2016-04-17"
429.054,"2016-04-18"
436.105,"2016-04-19"
442.156,"2016-04-20"
451.102,"2016-04-21"
447.636,"2016-04-22"
452.584,"2016-04-23"
460.327,"2016-04-24"
462.51,"2016-04-25"
467.803,"2016-04-26"
445.012,"2016-04-27"
449.856,"2016-04-28"
456.35,"2016-04-29"
449.333,"2016-04-30"
453.042,"2016-05-01"
444.513,"2016-05-02"
450.274,"2016-05-03"
446.962,"2016-05-04"
448.527,"2016-05-05"
460.374,"2016-05-06"
459.465,"2016-05-07"
459.437,"2016-05-08"
461.491,"2016-05-09"
450.987,"2016-05-10"
452.113,"2016-05-11"
454.818,"2016-05-12"
455.735,"2016-05-13"
455.753,"2016-05-14"
457.848,"2016-05-15"
453.41,"2016-05-16"
452.746,"2016-05-17"
453.378,"2016-05-18"
436.729,"2016-05-19"
442.953,"2016-05-20"
443.135,"2016-05-21"
438.773,"2016-05-22"
