Date,Price,Open,High,Low,Change
29-Dec-17,1.3514,1.3445,1.3546,1.3428,0.53%
28-Dec-17,1.3443,1.3397,1.3457,1.3392,0.34%
27-Dec-17,1.3397,1.3375,1.3431,1.3368,0.17%
26-Dec-17,1.3374,1.3371,1.3391,1.3347,0.04%
25-Dec-17,1.3369,1.3357,1.3396,1.3355,0.04%
22-Dec-17,1.3363,1.3386,1.3399,1.3348,-0.17%
21-Dec-17,1.3386,1.3375,1.3388,1.3331,0.07%
20-Dec-17,1.3376,1.3387,1.3423,1.3372,-0.07%
19-Dec-17,1.3386,1.3382,1.3403,1.3331,0.03%
18-Dec-17,1.3382,1.3327,1.342,1.331,0.46%
15-Dec-17,1.3321,1.343,1.3449,1.3302,-0.83%
14-Dec-17,1.3432,1.3418,1.3464,1.339,0.09%
13-Dec-17,1.342,1.3317,1.3422,1.3311,0.77%
12-Dec-17,1.3317,1.3339,1.3381,1.3304,-0.16%
11-Dec-17,1.3339,1.3392,1.3432,1.3331,-0.40%
8-Dec-17,1.3392,1.3476,1.3521,1.3354,-0.61%
7-Dec-17,1.3474,1.3391,1.3485,1.3319,0.60%
6-Dec-17,1.3394,1.3442,1.3449,1.3357,-0.36%
5-Dec-17,1.3443,1.3479,1.3483,1.337,-0.27%
4-Dec-17,1.3479,1.3479,1.3539,1.3417,0.05%
1-Dec-17,1.3472,1.3525,1.3552,1.3445,-0.41%
30-Nov-17,1.3527,1.3409,1.355,1.3405,0.88%
29-Nov-17,1.3409,1.334,1.3449,1.334,0.53%
28-Nov-17,1.3338,1.3312,1.3388,1.3221,0.15%
27-Nov-17,1.3318,1.3337,1.3384,1.331,-0.14%
24-Nov-17,1.3337,1.3309,1.3362,1.328,0.20%
23-Nov-17,1.331,1.3325,1.3338,1.3285,-0.13%
22-Nov-17,1.3327,1.3239,1.3331,1.3213,0.66%
21-Nov-17,1.3239,1.3236,1.327,1.3211,0.03%
20-Nov-17,1.3235,1.3218,1.3281,1.3185,0.16%
17-Nov-17,1.3214,1.3196,1.3262,1.317,0.14%
16-Nov-17,1.3195,1.3171,1.3209,1.3135,0.18%
15-Nov-17,1.3171,1.3167,1.3216,1.3131,0.05%
14-Nov-17,1.3165,1.3116,1.3188,1.3075,0.37%
13-Nov-17,1.3116,1.3183,1.3198,1.3062,-0.56%
10-Nov-17,1.319,1.3148,1.3232,1.3112,0.30%
9-Nov-17,1.3151,1.3115,1.3167,1.3086,0.27%
8-Nov-17,1.3116,1.3167,1.3178,1.3087,-0.39%
7-Nov-17,1.3167,1.317,1.3179,1.3109,-0.04%
6-Nov-17,1.3172,1.3085,1.3177,1.3058,0.73%
3-Nov-17,1.3076,1.3059,1.3132,1.3039,0.13%
2-Nov-17,1.3059,1.3245,1.33,1.3043,-1.41%
1-Nov-17,1.3246,1.3282,1.3321,1.324,-0.28%
31-Oct-17,1.3283,1.3207,1.3289,1.319,0.57%
30-Oct-17,1.3208,1.3112,1.3216,1.3105,0.60%
27-Oct-17,1.3129,1.3161,1.3164,1.307,-0.24%
26-Oct-17,1.316,1.3264,1.3281,1.3147,-0.78%
25-Oct-17,1.3264,1.3132,1.3272,1.311,0.97%
24-Oct-17,1.3136,1.3199,1.3229,1.3112,-0.46%
23-Oct-17,1.3197,1.3186,1.3228,1.3156,0.05%
