Date,Price,Open,High,Low,Change
29-Dec-17,1.1998,1.1943,1.203,1.1937,0.46%
28-Dec-17,1.1943,1.1888,1.1961,1.1888,0.46%
27-Dec-17,1.1888,1.1859,1.1912,1.1855,0.25%
26-Dec-17,1.1858,1.1867,1.1879,1.1846,-0.09%
25-Dec-17,1.1869,1.185,1.1882,1.1842,0.13%
24-Dec-17,1.1853,1.1854,1.1854,1.1853,-0.04%
22-Dec-17,1.1858,1.1875,1.1877,1.1816,-0.13%
21-Dec-17,1.1873,1.1871,1.189,1.1848,0.02%
20-Dec-17,1.1871,1.184,1.1903,1.1829,0.26%
19-Dec-17,1.184,1.1782,1.1851,1.1777,0.49%
18-Dec-17,1.1782,1.1753,1.1835,1.1736,0.32%
17-Dec-17,1.1744,1.1745,1.1751,1.1738,-0.09%
15-Dec-17,1.1754,1.1778,1.1814,1.1751,-0.20%
14-Dec-17,1.1778,1.1826,1.1863,1.177,-0.41%
13-Dec-17,1.1827,1.1742,1.1833,1.173,0.72%
12-Dec-17,1.1742,1.177,1.1794,1.1718,-0.22%
11-Dec-17,1.1768,1.1768,1.1812,1.1761,0.00%
10-Dec-17,1.1768,1.1766,1.1772,1.1764,0.03%
8-Dec-17,1.1764,1.1772,1.1778,1.1729,-0.08%
7-Dec-17,1.1773,1.1796,1.1816,1.1772,-0.19%
6-Dec-17,1.1796,1.1825,1.1849,1.178,-0.25%
5-Dec-17,1.1826,1.1866,1.1879,1.1801,-0.34%
4-Dec-17,1.1866,1.1882,1.189,1.183,0.08%
3-Dec-17,1.1857,1.1864,1.1875,1.1857,-0.29%
1-Dec-17,1.1891,1.1904,1.1942,1.1851,-0.11%
30-Nov-17,1.1904,1.1847,1.1933,1.1809,0.47%
29-Nov-17,1.1848,1.1841,1.1883,1.1816,0.06%
28-Nov-17,1.1841,1.1898,1.1921,1.1827,-0.48%
27-Nov-17,1.1898,1.1933,1.1962,1.1896,-0.25%
26-Nov-17,1.1928,1.1927,1.1936,1.1924,-0.02%
24-Nov-17,1.193,1.185,1.1944,1.1835,0.66%
23-Nov-17,1.1852,1.1822,1.1856,1.1812,0.25%
22-Nov-17,1.1822,1.1738,1.1829,1.1733,0.72%
21-Nov-17,1.1738,1.1732,1.1759,1.1713,0.05%
20-Nov-17,1.1732,1.1789,1.1808,1.1721,-0.02%
19-Nov-17,1.1734,1.1789,1.1798,1.1723,-0.52%
17-Nov-17,1.1795,1.1771,1.1823,1.1766,0.21%
16-Nov-17,1.177,1.1792,1.1802,1.1756,-0.19%
15-Nov-17,1.1792,1.1797,1.1861,1.1784,-0.05%
14-Nov-17,1.1798,1.1667,1.1807,1.166,1.12%
13-Nov-17,1.1667,1.1666,1.1677,1.1638,0.05%
12-Nov-17,1.1661,1.1658,1.1665,1.1656,-0.03%
10-Nov-17,1.1665,1.1642,1.168,1.1623,0.20%
9-Nov-17,1.1642,1.1596,1.1657,1.1586,0.41%
8-Nov-17,1.1595,1.1587,1.1612,1.1578,0.07%
7-Nov-17,1.1587,1.161,1.1618,1.1553,-0.20%
6-Nov-17,1.161,1.1609,1.1625,1.1579,-0.04%
5-Nov-17,1.1615,1.1616,1.1618,1.1606,0.05%
3-Nov-17,1.1609,1.166,1.1692,1.1599,-0.42%
2-Nov-17,1.1658,1.1619,1.1689,1.1613,0.34%
1-Nov-17,1.1619,1.1646,1.1659,1.1607,-0.23%
31-Oct-17,1.1646,1.1651,1.1663,1.1625,-0.04%
30-Oct-17,1.1651,1.1603,1.166,1.1594,0.39%
29-Oct-17,1.1606,1.161,1.1614,1.1594,-0.03%
27-Oct-17,1.161,1.165,1.1659,1.1575,-0.34%
26-Oct-17,1.165,1.1812,1.1837,1.1639,-1.38%
25-Oct-17,1.1813,1.176,1.1819,1.1752,0.44%
24-Oct-17,1.1761,1.1749,1.1794,1.1743,0.10%
23-Oct-17,1.1749,1.1773,1.1779,1.1725,-0.05%
22-Oct-17,1.1755,1.1765,1.1774,1.1752,-0.25%
20-Oct-17,1.1785,1.1853,1.1859,1.1763,-0.57%
19-Oct-17,1.1852,1.1788,1.186,1.1768,0.55%
18-Oct-17,1.1787,1.1764,1.1806,1.173,0.18%
17-Oct-17,1.1766,1.1797,1.1801,1.1734,-0.26%
16-Oct-17,1.1797,1.1825,1.1827,1.178,-0.14%
15-Oct-17,1.1814,1.1814,1.1818,1.1806,-0.08%
13-Oct-17,1.1823,1.1829,1.1875,1.1804,-0.07%
12-Oct-17,1.1831,1.1862,1.1881,1.1827,-0.24%
11-Oct-17,1.1859,1.1808,1.1871,1.1795,0.45%
10-Oct-17,1.1806,1.1738,1.1825,1.1738,0.56%
9-Oct-17,1.174,1.1728,1.1757,1.1717,-0.02%
8-Oct-17,1.1742,1.173,1.1744,1.173,0.07%
6-Oct-17,1.1734,1.171,1.1739,1.1668,0.20%
5-Oct-17,1.1711,1.1758,1.178,1.1698,-0.41%
4-Oct-17,1.1759,1.1742,1.1789,1.1734,0.13%
3-Oct-17,1.1744,1.1733,1.1775,1.1696,0.10%
2-Oct-17,1.1732,1.1818,1.1818,1.173,-0.64%
1-Oct-17,1.1808,1.1793,1.1816,1.1791,-0.05%
29-Sep-17,1.1814,1.1787,1.1834,1.1773,0.24%
28-Sep-17,1.1786,1.1746,1.1805,1.1721,0.36%
27-Sep-17,1.1744,1.1793,1.1797,1.1717,-0.42%
26-Sep-17,1.1793,1.1848,1.1863,1.1758,-0.46%
25-Sep-17,1.1848,1.1953,1.1962,1.1833,-0.66%
24-Sep-17,1.1927,1.19,1.1927,1.1898,-0.23%
22-Sep-17,1.1954,1.1942,1.2006,1.1937,0.11%
21-Sep-17,1.1941,1.1894,1.1955,1.1866,0.40%
20-Sep-17,1.1893,1.1994,1.2033,1.1862,-0.84%
19-Sep-17,1.1994,1.1955,1.2008,1.195,0.33%
18-Sep-17,1.1954,1.1949,1.1971,1.1915,0.13%
17-Sep-17,1.1938,1.1922,1.1951,1.1921,-0.04%
15-Sep-17,1.1943,1.1919,1.1988,1.1901,0.20%
14-Sep-17,1.1919,1.1884,1.1922,1.1837,0.28%
13-Sep-17,1.1886,1.1968,1.1996,1.1873,-0.68%
12-Sep-17,1.1967,1.1953,1.198,1.1926,0.12%
11-Sep-17,1.1953,1.2041,1.2041,1.1948,-0.53%
10-Sep-17,1.2017,1.2018,1.2026,1.2012,-0.15%
8-Sep-17,1.2035,1.2024,1.2094,1.2016,0.10%
7-Sep-17,1.2023,1.1917,1.2061,1.1914,0.89%
6-Sep-17,1.1917,1.1914,1.1951,1.1903,0.03%
5-Sep-17,1.1914,1.1896,1.1941,1.1868,0.15%
4-Sep-17,1.1896,1.1858,1.1923,1.1853,0.12%
3-Sep-17,1.1882,1.1885,1.1886,1.1875,0.19%
1-Sep-17,1.1859,1.1911,1.1981,1.185,-0.43%
31-Aug-17,1.191,1.1884,1.1914,1.1823,0.23%
30-Aug-17,1.1883,1.1974,1.1986,1.1881,-0.74%
29-Aug-17,1.1972,1.1978,1.2069,1.1944,-0.06%
28-Aug-17,1.1979,1.1926,1.1985,1.1917,0.23%
27-Aug-17,1.1951,1.1946,1.196,1.1941,0.21%
25-Aug-17,1.1926,1.1799,1.1942,1.1773,1.08%
24-Aug-17,1.1799,1.1807,1.1821,1.1784,-0.08%
23-Aug-17,1.1808,1.1763,1.1825,1.174,0.39%
22-Aug-17,1.1762,1.1815,1.1826,1.1745,-0.46%
21-Aug-17,1.1816,1.175,1.183,1.1731,0.51%
20-Aug-17,1.1756,1.1759,1.1763,1.175,-0.05%
18-Aug-17,1.1762,1.1723,1.1775,1.1707,0.32%
17-Aug-17,1.1724,1.1767,1.179,1.1662,-0.39%
16-Aug-17,1.177,1.1734,1.178,1.1682,0.30%
15-Aug-17,1.1735,1.178,1.1794,1.1688,-0.38%
14-Aug-17,1.178,1.1806,1.184,1.177,-0.38%
13-Aug-17,1.1825,1.1823,1.1829,1.1819,0.04%
