Date,Price,Open,High,Low,Change
29-Dec-17,6.5066,6.5274,6.5304,6.5027,-0.41%
28-Dec-17,6.5334,6.5542,6.5598,6.5304,-0.36%
27-Dec-17,6.5568,6.5418,6.5598,6.5418,0.18%
26-Dec-17,6.5453,6.5399,6.5584,6.5354,0.09%
25-Dec-17,6.5397,6.5708,6.5732,6.5388,-0.57%
22-Dec-17,6.5774,6.5819,6.586,6.5694,-0.11%
21-Dec-17,6.5847,6.5595,6.5885,6.555,0.09%
20-Dec-17,6.5785,6.604,6.6066,6.5758,-0.40%
19-Dec-17,6.6047,6.6159,6.6185,6.6022,-0.18%
18-Dec-17,6.6164,6.6122,6.619,6.612,0.11%
15-Dec-17,6.6094,6.6071,6.6117,6.6063,0.00%
14-Dec-17,6.6095,6.6047,6.6117,6.6041,-0.12%
13-Dec-17,6.6174,6.6198,6.623,6.6163,-0.06%
12-Dec-17,6.6215,6.6151,6.6235,6.6151,0.04%
11-Dec-17,6.6186,6.6162,6.6188,6.615,-0.04%
8-Dec-17,6.6212,6.6184,6.6219,6.6152,0.03%
7-Dec-17,6.6193,6.617,6.6212,6.6145,0.07%
6-Dec-17,6.6148,6.6173,6.6208,6.6117,-0.06%
5-Dec-17,6.6191,6.6163,6.62,6.6126,-0.01%
4-Dec-17,6.6197,6.6113,6.6212,6.6113,0.03%
1-Dec-17,6.6174,6.6112,6.6194,6.6082,0.07%
30-Nov-17,6.6128,6.6143,6.6212,6.606,0.05%
29-Nov-17,6.6094,6.6053,6.6119,6.5947,0.03%
28-Nov-17,6.6076,6.6028,6.612,6.5938,0.16%
27-Nov-17,6.5969,6.6,6.6072,6.596,-0.08%
24-Nov-17,6.6022,6.5765,6.6085,6.5762,0.28%
23-Nov-17,6.5835,6.6131,6.6131,6.5761,-0.40%
22-Nov-17,6.6102,6.6281,6.6343,6.6092,-0.29%
21-Nov-17,6.6296,6.6331,6.645,6.6277,-0.08%
20-Nov-17,6.635,6.6295,6.6422,6.6295,0.13%
17-Nov-17,6.6267,6.6296,6.6373,6.6242,-0.06%
16-Nov-17,6.6307,6.6235,6.6406,6.6235,0.11%
15-Nov-17,6.6235,6.6385,6.6388,6.6158,-0.19%
14-Nov-17,6.6363,6.6397,6.645,6.6343,-0.06%
13-Nov-17,6.6405,6.65,6.6531,6.6386,-0.01%
10-Nov-17,6.6414,6.6394,6.6465,6.6361,0.02%
9-Nov-17,6.6403,6.6274,6.6441,6.6266,0.19%
8-Nov-17,6.628,6.6411,6.6467,6.6256,-0.18%
7-Nov-17,6.64,6.6321,6.6421,6.6224,0.09%
6-Nov-17,6.6338,6.6387,6.6434,6.6303,-0.08%
3-Nov-17,6.639,6.6098,6.6399,6.6066,0.46%
2-Nov-17,6.6089,6.6039,6.6132,6.5851,0.09%
1-Nov-17,6.6029,6.6339,6.6385,6.6011,-0.48%
31-Oct-17,6.6349,6.6461,6.6461,6.625,-0.17%
30-Oct-17,6.6465,6.6481,6.6526,6.6445,-0.07%
