"rate_in_USD","date"
8915.9038,"2018-03-20"
8895.4,"2018-03-21"
8712.8913,"2018-03-22"
8918.7438,"2018-03-23"
8535.8938,"2018-03-24"
8449.835,"2018-03-25"
8138.3363,"2018-03-26"
7790.1575,"2018-03-27"
7937.205,"2018-03-28"
7086.4875,"2018-03-29"
6844.3213,"2018-03-30"
6926.0175,"2018-03-31"
6816.74,"2018-04-01"
7049.7938,"2018-04-02"
7417.8875,"2018-04-03"
6789.3013,"2018-04-04"
6774.7513,"2018-04-05"
6620.4088,"2018-04-06"
6896.2813,"2018-04-07"
7022.7088,"2018-04-08"
6773.9388,"2018-04-09"
6830.9038,"2018-04-10"
6939.55,"2018-04-11"
7916.3725,"2018-04-12"
7889.2313,"2018-04-13"
8003.6813,"2018-04-14"
8357.0375,"2018-04-15"
8051.345,"2018-04-16"
7890.15,"2018-04-17"
8163.69,"2018-04-18"
8273.7413,"2018-04-19"
8863.5025,"2018-04-20"
